env,budget_kind,budget,curve_monotone,reference_envelope_at_B,reference_envelope_support,frontier_interp_at_B,policy,w_lo,w_hi,q,w,heldout_usage,heldout_usage_se,heldout_reward,heldout_reward_se,usage_error,feasible_in_expectation,gap_to_reference,gap_to_frontier_interp,note,per_seed_usage,per_seed_reward,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,interior_0.25,4.719,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,mixture,19.306977288832496,43.93970560760795,0.25,,4.642,0.10106433594498107,5.358,0.10106433594498107,0.07699999999999996,True,0.34199999999999964,,,4.8000|4.3500|4.8500|4.4500|4.7600,5.2000|5.6500|5.1500|5.5500|5.2400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.25,4.719,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,endpoint_lo,19.306977288832496,43.93970560760795,,19.306977288832496,4.316,0.08182909018191518,5.684,0.08182909018191518,0.40300000000000047,True,0.6680000000000001,,,4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.25,4.719,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,endpoint_hi,19.306977288832496,43.93970560760795,,43.93970560760795,5.752000000000001,0.11324310133513656,4.248,0.11324310133513656,1.0330000000000004,False,-0.7679999999999998,,,6.0000|5.6000|6.0000|5.4200|5.7400,4.0000|4.4000|4.0000|4.5800|4.2600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.25,4.719,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_feasible_member,19.306977288832496,43.93970560760795,,0.0,4.316,0.08182909018191518,5.684,0.08182909018191518,0.40300000000000047,True,0.6680000000000001,,,4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.25,4.719,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_target_mixture,0.0,43.93970560760795,0.25,,4.642,0.10106433594498107,5.358,0.10106433594498107,0.07699999999999996,True,0.34199999999999964,,"support w=0,43.94 q_b=0.2500 cal_reward=5.1160 cal_usage=4.7190",4.8000|4.3500|4.8500|4.4500|4.7600,5.2000|5.6500|5.1500|5.5500|5.2400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.25,4.719,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_feasible_mixture,19.306977288832496,43.93970560760795,,0.0,4.316,0.08182909018191518,5.684,0.08182909018191518,0.40300000000000047,True,0.6680000000000001,,"support w=0,0 q_b=0.0000 cal_reward=5.4120 cal_usage=4.3680",4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.5,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,mixture,19.306977288832496,43.93970560760795,0.5,,5.038,0.13994284547628713,4.962,0.13994284547628713,0.03200000000000003,True,-0.05400000000000027,,,5.2000|4.7000|5.4200|4.7300|5.1400,4.8000|5.3000|4.5800|5.2700|4.8600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.5,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,endpoint_lo,19.306977288832496,43.93970560760795,,19.306977288832496,4.316,0.08182909018191518,5.684,0.08182909018191518,0.7540000000000004,True,0.6680000000000001,,,4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.5,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,endpoint_hi,19.306977288832496,43.93970560760795,,43.93970560760795,5.752000000000001,0.11324310133513656,4.248,0.11324310133513656,0.6820000000000004,False,-0.7679999999999998,,,6.0000|5.6000|6.0000|5.4200|5.7400,4.0000|4.4000|4.0000|4.5800|4.2600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,interior_0.5,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_feasible_member,19.306977288832496,43.93970560760795,,0.0,4.316,0.08182909018191518,5.684,0.08182909018191518,0.7540000000000004,True,0.6680000000000001,,,4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
