env,agent,gamma,success,reward,obs,se_reward_pooled,se_reward_seed_level,se_success_seed_level,n_seeds,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,EFE,0.9,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T00:56:03Z
Tiger,Planning,0.9,0.9688,3.9144,2.6536,0.38253254640095663,0.37874022759669984,0.0034409301068170535,5,42|123|456|789|1024,500,c3c720f,2026-08-21T00:56:06Z
Tiger,EFE,0.95,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T00:58:43Z
Tiger,Planning,0.95,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T00:58:47Z
Tiger,EFE,0.99,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:01:26Z
Tiger,Planning,0.99,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:01:30Z
Tiger,EFE,1.0,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:04:07Z
Tiger,Planning,1.0,0.996,5.3264,4.2336,0.14334833523972296,0.26061036050011516,0.002280350850198278,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:04:12Z
Diagnosis,EFE,0.9,0.8876,-2.5768,5.8328,0.3807017214355617,0.4280381291427201,0.006968500556073744,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:06:29Z
Diagnosis,Planning,0.9,0.8872,-2.624,5.856,0.3815728627667329,0.3060823418624472,0.004176122603564224,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:06:34Z
Diagnosis,EFE,0.95,0.8876,-2.5768,5.8328,0.3807017214355617,0.4280381291427201,0.006968500556073744,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:08:51Z
Diagnosis,Planning,0.95,0.8872,-2.624,5.856,0.3815728627667329,0.3060823418624472,0.004176122603564224,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:08:56Z
Diagnosis,EFE,0.99,0.9748,-1.1856,9.6736,0.20177685956521377,0.24126864694775405,0.0030724582991474457,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:12:30Z
Diagnosis,Planning,0.99,0.8956,-2.1496,5.8856,0.3689197310201774,0.38236652573152896,0.005775811631277465,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:12:35Z
Diagnosis,EFE,1.0,0.9736,-1.2624,9.6784,0.20677170622694008,0.3417428272839095,0.0053814496188294885,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:16:10Z
Diagnosis,Planning,1.0,0.8876,-2.5912,5.8472,0.38046754529657323,0.3748138738093883,0.005635601121442153,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:16:15Z
Bandit,EFE,0.9,0.6188,5.548,2.0424,0.08740273679925589,0.13289055647411516,0.015239422561239004,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:17:07Z
Bandit,Planning,0.9,0.6204,5.5636,2.04,0.08736716783780965,0.1563990409177755,0.0173597235001022,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:17:09Z
Bandit,EFE,0.95,0.6188,5.548,2.0424,0.08740273679925589,0.13289055647411516,0.015239422561239004,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:18:01Z
Bandit,Planning,0.95,0.6204,5.5636,2.04,0.08736716783780965,0.1563990409177755,0.0173597235001022,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:18:03Z
Bandit,EFE,0.99,0.8692,6.242,5.1616,0.06825609423340893,0.09210157436222247,0.008309031231136403,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:19:49Z
Bandit,Planning,0.99,0.6448,5.6142,2.378,0.08480013764139774,0.1224121725973361,0.013807244475274576,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:19:52Z
Bandit,EFE,1.0,0.8692,6.242,5.1616,0.06825609423340893,0.09210157436222247,0.008309031231136403,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:21:38Z
Bandit,Planning,1.0,0.6988,5.668,3.2424,0.07990137921212626,0.12974706162376087,0.014093970341958282,5,42|123|456|789|1024,500,c3c720f,2026-08-21T01:21:40Z
