w,metric,agent_a,agent_b,mean_a,mean_b,diff,n_seeds,p_seed_level,significant_hb_seed_level
0.0,Reward,Planning+IG,Planning+IG (reward-relevant),-3.224,-3.224,0.0,5,1.0,False
0.0,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.0,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.0,Usage,Planning+IG,Planning+IG (reward-relevant),5.904,5.904,0.0,5,1.0,False
0.0,Success,Planning+IG,Planning+IG (reward-relevant),0.878,0.878,0.0,5,1.0,False
0.001,Reward,Planning+IG,Planning+IG (reward-relevant),-3.224,-3.224,0.0,5,1.0,False
0.001,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.001,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.001,Usage,Planning+IG,Planning+IG (reward-relevant),5.904,5.904,0.0,5,1.0,False
0.001,Success,Planning+IG,Planning+IG (reward-relevant),0.878,0.878,0.0,5,1.0,False
0.0031622776601683794,Reward,Planning+IG,Planning+IG (reward-relevant),-3.224,-3.224,0.0,5,1.0,False
0.0031622776601683794,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.0031622776601683794,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.0031622776601683794,Usage,Planning+IG,Planning+IG (reward-relevant),5.904,5.904,0.0,5,1.0,False
0.0031622776601683794,Success,Planning+IG,Planning+IG (reward-relevant),0.878,0.878,0.0,5,1.0,False
0.01,Reward,Planning+IG,Planning+IG (reward-relevant),-3.224,-3.224,0.0,5,1.0,False
0.01,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.01,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.01,Usage,Planning+IG,Planning+IG (reward-relevant),5.904,5.904,0.0,5,1.0,False
0.01,Success,Planning+IG,Planning+IG (reward-relevant),0.878,0.878,0.0,5,1.0,False
0.03162277660168379,Reward,Planning+IG,Planning+IG (reward-relevant),-3.224,-3.224,0.0,5,1.0,False
0.03162277660168379,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.03162277660168379,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.03162277660168379,Usage,Planning+IG,Planning+IG (reward-relevant),5.904,5.904,0.0,5,1.0,False
0.03162277660168379,Success,Planning+IG,Planning+IG (reward-relevant),0.878,0.878,0.0,5,1.0,False
0.1,Reward,Planning+IG,Planning+IG (reward-relevant),-3.224,-3.224,0.0,5,1.0,False
0.1,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.1,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.1,Usage,Planning+IG,Planning+IG (reward-relevant),5.904,5.904,0.0,5,1.0,False
0.1,Success,Planning+IG,Planning+IG (reward-relevant),0.878,0.878,0.0,5,1.0,False
0.31622776601683794,Reward,Planning+IG,Planning+IG (reward-relevant),-1.452,-1.452,0.0,5,1.0,False
0.31622776601683794,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.31622776601683794,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
0.31622776601683794,Usage,Planning+IG,Planning+IG (reward-relevant),9.772,9.772,0.0,5,1.0,False
0.31622776601683794,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
1.0,Reward,Planning+IG,Planning+IG (reward-relevant),-1.452,-1.452,0.0,5,1.0,False
1.0,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
1.0,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
1.0,Usage,Planning+IG,Planning+IG (reward-relevant),9.772,9.772,0.0,5,1.0,False
1.0,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
3.1622776601683795,Reward,Planning+IG,Planning+IG (reward-relevant),-1.452,-1.452,0.0,5,1.0,False
3.1622776601683795,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
3.1622776601683795,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
3.1622776601683795,Usage,Planning+IG,Planning+IG (reward-relevant),9.772,9.772,0.0,5,1.0,False
3.1622776601683795,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
3.5,Reward,Planning+IG,Planning+IG (reward-relevant),-1.452,-1.452,0.0,5,1.0,False
3.5,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
3.5,DistractorTests,Planning+IG,Planning+IG (reward-relevant),0.0,0.0,0.0,5,,False
3.5,Usage,Planning+IG,Planning+IG (reward-relevant),9.772,9.772,0.0,5,1.0,False
3.5,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
4.0,Reward,Planning+IG,Planning+IG (reward-relevant),-2.452,-1.452,-1.0,5,0.37298889619168185,False
4.0,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.10264865098206345,0.0,0.10264865098206345,5,6.02891304906604e-08,True
4.0,DistractorTests,Planning+IG,Planning+IG (reward-relevant),1.0,0.0,1.0,5,0.0,True
4.0,Usage,Planning+IG,Planning+IG (reward-relevant),10.772,9.772,1.0,5,0.0009921168354135852,True
4.0,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
4.5,Reward,Planning+IG,Planning+IG (reward-relevant),-2.452,-1.452,-1.0,5,0.37298889619168185,False
4.5,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.10264865098206345,0.0,0.10264865098206345,5,6.02891304906604e-08,True
4.5,DistractorTests,Planning+IG,Planning+IG (reward-relevant),1.0,0.0,1.0,5,0.0,True
4.5,Usage,Planning+IG,Planning+IG (reward-relevant),10.772,9.772,1.0,5,0.0009921168354135852,True
4.5,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
5.0,Reward,Planning+IG,Planning+IG (reward-relevant),-4.308,-1.452,-2.856,5,0.0259778445774901,False
5.0,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.23274893994893994,0.0,0.23274893994893994,5,9.539368278284295e-08,True
5.0,DistractorTests,Planning+IG,Planning+IG (reward-relevant),2.856,0.0,2.856,5,7.755130366372119e-07,True
5.0,Usage,Planning+IG,Planning+IG (reward-relevant),12.628,9.772,2.856,5,1.5268809696596138e-06,True
5.0,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
10.0,Reward,Planning+IG,Planning+IG (reward-relevant),-4.308,-1.452,-2.856,5,0.0259778445774901,False
10.0,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.23274893994893994,0.0,0.23274893994893994,5,9.539368278284295e-08,True
10.0,DistractorTests,Planning+IG,Planning+IG (reward-relevant),2.856,0.0,2.856,5,7.755130366372119e-07,True
10.0,Usage,Planning+IG,Planning+IG (reward-relevant),12.628,9.772,2.856,5,1.5268809696596138e-06,True
10.0,Success,Planning+IG,Planning+IG (reward-relevant),0.972,0.972,0.0,5,1.0,False
31.622776601683793,Reward,Planning+IG,Planning+IG (reward-relevant),-10.128,-3.644,-6.484,5,1.1839104349959217e-05,True
31.622776601683793,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.3300568414643492,0.0,0.3300568414643492,5,1.8361772352262113e-07,True
31.622776601683793,DistractorTests,Planning+IG,Planning+IG (reward-relevant),6.452,0.0,6.452,5,1.9473218398906304e-07,True
31.622776601683793,Usage,Planning+IG,Planning+IG (reward-relevant),19.648,13.164,6.484,5,2.996038531611575e-11,True
31.622776601683793,Success,Planning+IG,Planning+IG (reward-relevant),0.992,0.992,0.0,5,1.0,False
100.0,Reward,Planning+IG,Planning+IG (reward-relevant),-10.476,-3.644,-6.832000000000001,5,1.4719088185136848e-05,True
100.0,DistractorFraction,Planning+IG,Planning+IG (reward-relevant),0.3315086439360433,0.0,0.3315086439360433,5,3.7788730753794843e-07,True
100.0,DistractorTests,Planning+IG,Planning+IG (reward-relevant),6.456,0.0,6.456,5,1.1729820532823445e-06,True
100.0,Usage,Planning+IG,Planning+IG (reward-relevant),19.516,13.164,6.3519999999999985,5,1.4891914081469069e-10,True
100.0,Success,Planning+IG,Planning+IG (reward-relevant),0.984,0.992,-0.008000000000000007,5,0.19538894414977978,False
