env,agent,horizon,sim_budget,success,reward,std_reward,obs,wall_clock_s,ms_per_ep
Tiger,Exact-EFE,6,0,0.993,4.95,9.309001020517725,4.28,59.034802198410034,59.034802198410034
Tiger,MCTS-EFE(200),6,200,0.973,4.38,17.930744546727556,2.65,17.913135766983032,17.913135766983032
Tiger,POMCP(200),6,200,0.886,-4.221,34.84689597367318,1.681,3.513892889022827,3.513892889022827
Tiger,MCTS-EFE(500),6,500,0.976,4.67,16.854527581632183,2.69,36.16640090942383,36.16640090942383
Tiger,POMCP(500),6,500,0.879,-5.02,35.77087642202802,1.71,8.452842950820923,8.452842950820923
Tiger,MCTS-EFE(1000),6,1000,0.965,3.41,20.322595798765473,2.74,68.90500903129578,68.90500903129578
Tiger,POMCP(1000),6,1000,0.909,-1.706,31.53470412101563,1.696,16.713027954101562,16.713027954101562
Tiger,MCTS-EFE(200),8,200,0.968,3.736,19.368074349299675,2.744,18.5674090385437,18.5674090385437
Tiger,POMCP(200),8,200,0.894,-3.346,33.79245898125793,1.686,3.558104991912842,3.558104991912842
Tiger,MCTS-EFE(500),8,500,0.966,3.666,19.961073217640376,2.594,34.897379875183105,34.897379875183105
Tiger,POMCP(500),8,500,0.874,-5.552,36.31219211229199,1.692,8.532235860824585,8.532235860824585
Tiger,MCTS-EFE(1000),8,1000,0.961,2.96,21.270787479545746,2.75,63.45880103111267,63.45880103111268
Tiger,POMCP(1000),8,1000,0.892,-3.583,33.9718870685748,1.703,16.982292890548706,16.982292890548706
Tiger,MCTS-EFE(200),10,200,0.972,4.268,18.23952236216727,2.652,18.212432146072388,18.212432146072388
Tiger,POMCP(200),10,200,0.895,-3.218,33.53861171843581,1.668,3.590559959411621,3.590559959411621
Tiger,MCTS-EFE(500),10,500,0.972,4.27,18.183154291816365,2.65,35.808650970458984,35.808650970458984
Tiger,POMCP(500),10,500,0.897,-3.017,33.305625816068975,1.687,8.611500978469849,8.611500978469849
Tiger,MCTS-EFE(1000),10,1000,0.97,4.018,18.79520353707296,2.682,62.43869686126709,62.43869686126709
Tiger,POMCP(1000),10,1000,0.877,-5.242,36.009490915590575,1.712,17.18435788154602,17.18435788154602
Diagnosis-N4,Exact-EFE,3,0,0.9635,-1.968,11.771617390996022,9.778,174.7671091556549,87.38355457782745
Diagnosis-N4,MCTS-EFE(200),3,200,0.9725,-1.91,10.553335965466086,10.26,2622.8029091358185,1311.4014545679092
Diagnosis-N4,POMCP(200),3,200,0.681,-12.796,27.723120026432813,3.656,24.39297103881836,12.19648551940918
Diagnosis-N4,MCTS-EFE(200),5,200,0.973,-1.802,10.621807567452914,10.182,2629.7302989959717,1314.8651494979858
Diagnosis-N4,POMCP(200),5,200,0.69,-12.421,27.447472725189108,3.821,26.259182929992676,13.129591464996338
Diagnosis-N4,MCTS-EFE(500),5,500,0.976,-1.5125,10.004541156394929,10.0725,3170.2133090496063,1585.1066545248032
Diagnosis-N4,POMCP(500),5,500,0.7075,-11.5245,27.033116722827202,3.9745,84.09485387802124,42.04742693901062
Diagnosis-N4,MCTS-EFE(200),7,200,0.971,-1.957,10.831858150843741,10.217,3206.023036956787,1603.0115184783936
Diagnosis-N4,POMCP(200),7,200,0.703,-11.6465,27.159759530415577,3.8265,31.16350793838501,15.581753969192505
Diagnosis-N4,MCTS-EFE(500),7,500,0.9755,-1.777,10.234953395106398,10.307,3533.032382965088,1766.516191482544
Diagnosis-N4,POMCP(500),7,500,0.712,-11.1795,27.01664819606607,3.8995,84.40417718887329,42.202088594436646
