env,family,metric,label_a,label_b,mean_a,mean_b,diff,t_stat,p_seed_level,n_seeds,significant_hb_seed_level
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=1 uniform,0.977,0.865,0.11199999999999999,19.20784153596097,1.2356022565873093e-07,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=1 uniform,3.7350000000000003,-6.489,10.224,15.643088481982023,8.160529860669816e-07,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=1 uniform,0.89,0.865,0.025000000000000022,4.564354645876384,0.0019737476258439735,5,True
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=1 uniform,-3.7590000000000003,-6.489,2.7299999999999995,4.708282367902555,0.0016281148942857856,5,True
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=2 uniform,0.977,0.892,0.08499999999999996,12.26869322027953,1.986055268525348e-06,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=2 uniform,3.7350000000000003,-3.525,7.26,9.336105241283134,1.4443003147287688e-05,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=2 uniform,0.89,0.892,-0.0020000000000000018,-0.30151134457776363,0.7710277991153791,5,False
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=2 uniform,-3.7590000000000003,-3.525,-0.23400000000000043,-0.3264711437576839,0.7529296937836579,5,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=5 uniform,0.977,0.89,0.08699999999999997,13.931149381042564,7.53888982688375e-07,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=5 uniform,3.7350000000000003,-3.7590000000000003,7.494000000000001,10.820027806063651,6.151593626273504e-06,5,True
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=10 uniform,0.977,0.893,0.08399999999999996,11.275421727595594,5.083513824155552e-06,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=10 uniform,3.7350000000000003,-3.5169999999999995,7.252,8.736135249199018,2.7599085217038204e-05,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=10 uniform,0.89,0.893,-0.0030000000000000027,-0.41803980857497064,0.68801407314156,5,False
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=10 uniform,-3.7590000000000003,-3.5169999999999995,-0.24200000000000088,-0.3129093070389929,0.7633082015840111,5,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=20 uniform,0.977,0.925,0.051999999999999935,8.326663997864513,3.478240597073554e-05,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=20 uniform,3.7350000000000003,-0.30299999999999994,4.038,5.875271207681333,0.0004369629059424065,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=20 uniform,0.89,0.925,-0.03500000000000003,-5.916079783099615,0.00035525444022441416,5,True
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=20 uniform,-3.7590000000000003,-0.30299999999999994,-3.4560000000000004,-5.596073235591341,0.0005132629667560246,5,True
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=50 uniform,0.977,0.9629999999999999,0.014000000000000123,1.9230478952816614,0.09198724560842977,5,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=50 uniform,3.7350000000000003,3.2120000000000006,0.5229999999999997,0.6409166938982921,0.5398552929286095,5,False
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=50 uniform,0.89,0.9629999999999999,-0.07299999999999984,-10.428571428571399,1.0989851742503832e-05,5,True
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=50 uniform,-3.7590000000000003,3.2120000000000006,-6.971000000000001,-9.193702156542589,3.0071112683656572e-05,5,True
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=110 uniform,0.977,0.916,0.06099999999999994,10.310881907687882,9.773336283989946e-06,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=110 uniform,3.7350000000000003,-1.1320000000000001,4.867000000000001,7.3117403871632325,0.000123699324692191,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=110 uniform,0.89,0.916,-0.026000000000000023,-4.669737852696148,0.0016754446515231528,5,True
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=110 uniform,-3.7590000000000003,-1.1320000000000001,-2.6270000000000002,-4.427084481472176,0.0022643110645082965,5,True
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=5 info-gain,0.977,0.89,0.08699999999999997,13.931149381042564,7.53888982688375e-07,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=5 info-gain,3.7350000000000003,-3.7590000000000003,7.494000000000001,10.820027806063651,6.151593626273504e-06,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=5 info-gain,0.89,0.89,0.0,0.0,1.0,5,False
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=5 info-gain,-3.7590000000000003,-3.7590000000000003,0.0,0.0,1.0,5,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=110 info-gain,0.977,0.916,0.06099999999999994,10.310881907687882,9.773336283989946e-06,5,True
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=110 info-gain,3.7350000000000003,-1.1320000000000001,4.867000000000001,7.3117403871632325,0.000123699324692191,5,True
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=110 info-gain,0.89,0.916,-0.026000000000000023,-4.669737852696148,0.0016754446515231528,5,True
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=110 info-gain,-3.7590000000000003,-1.1320000000000001,-2.6270000000000002,-4.427084481472176,0.0022643110645082965,5,True
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),MCTS-EFE c=5,0.977,0.982,-0.0050000000000000044,-0.944911182523068,0.37996943212178885,5,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),MCTS-EFE c=5,3.7350000000000003,4.326,-0.5909999999999993,-0.9767981267642962,0.3658255166689096,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=1 uniform,0.942,0.662,0.2799999999999999,17.26553964738981,1.9463257534226586e-05,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=1 uniform,-3.2560000000000002,-14.097,10.841,11.765032215876722,8.141143412788059e-05,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=1 uniform,0.682,0.662,0.020000000000000018,0.7738232325341378,0.4629420221988395,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=1 uniform,-12.806000000000001,-14.097,1.2909999999999986,0.890998749152301,0.4008963456761362,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=2 uniform,0.942,0.696,0.246,10.170848236315098,0.00035968119413650883,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=2 uniform,-3.2560000000000002,-12.16,8.904,6.224947310977804,0.0024965195108049044,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=2 uniform,0.682,0.696,-0.013999999999999901,-0.44494920831460677,0.6683696821163636,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=2 uniform,-12.806000000000001,-12.16,-0.6460000000000008,-0.3558110376674357,0.7314902201881428,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=5 uniform,0.942,0.682,0.2599999999999999,12.283845372799888,0.00014246611434658835,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=5 uniform,-3.2560000000000002,-12.806000000000001,9.55,7.9696330410444105,0.000770288287009828,5,True
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=10 uniform,0.942,0.707,0.235,11.260917651794866,0.0002035771466570708,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=10 uniform,-3.2560000000000002,-11.35,8.094,6.488124760800355,0.001908207680289053,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=10 uniform,0.682,0.707,-0.02499999999999991,-0.862325342910421,0.4136149319378136,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=10 uniform,-12.806000000000001,-11.35,-1.4560000000000013,-0.8691014147745483,0.4101522330733186,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=20 uniform,0.942,0.646,0.29599999999999993,11.911685821465896,0.0001901224775596293,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=20 uniform,-3.2560000000000002,-14.245999999999999,10.989999999999998,7.381294375886109,0.0012868562034797062,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=20 uniform,0.682,0.646,0.03600000000000003,1.1258248809613727,0.293741943531191,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=20 uniform,-12.806000000000001,-14.245999999999999,1.4399999999999977,0.7733504889887786,0.4626464003055647,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=50 uniform,0.942,0.55,0.3919999999999999,21.44928568245165,9.591480309648444e-06,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=50 uniform,-3.2560000000000002,-19.071,15.815000000000001,14.883168412020977,3.849173128178058e-05,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=50 uniform,0.682,0.55,0.132,4.855698492332885,0.0013502436169828937,5,True
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=50 uniform,-12.806000000000001,-19.071,6.265000000000001,4.061451133656562,0.0037536728134473156,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=60 uniform,0.942,0.5549999999999999,0.387,16.11800585523376,5.1398294237737614e-05,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=60 uniform,-3.2560000000000002,-18.671,15.415,10.69804158065466,0.0002670219296215186,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=60 uniform,0.682,0.5549999999999999,0.1270000000000001,4.0537650027981895,0.0037975017517004493,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=60 uniform,-12.806000000000001,-18.671,5.864999999999998,3.215655773346956,0.012930333298246078,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=5 info-gain,0.942,0.7140000000000001,0.22799999999999987,14.873080065618488,3.3795317137180535e-05,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=5 info-gain,-3.2560000000000002,-11.229,7.972999999999999,8.756480176404862,0.00032440848987937566,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=5 info-gain,0.682,0.7140000000000001,-0.03200000000000003,-1.2649110640673535,0.24529223557720342,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=5 info-gain,-12.806000000000001,-11.229,-1.5770000000000017,-1.0936145814192086,0.3085658409432638,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=60 info-gain,0.942,0.6010000000000001,0.34099999999999986,11.98151869019352,0.00020455255508757003,5,True
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=60 info-gain,-3.2560000000000002,-16.18,12.924,7.71669627191471,0.0011552008624671091,5,True
Diagnosis-N4,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=60 info-gain,0.682,0.6010000000000001,0.08099999999999996,2.323790007724449,0.05139877825321975,5,False
Diagnosis-N4,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=60 info-gain,-12.806000000000001,-16.18,3.3739999999999988,1.6754548449138966,0.1366682265032268,5,False
Diagnosis-N4,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),MCTS-EFE c=5,0.942,0.9469999999999998,-0.004999999999999893,-0.8111071056537984,0.44115974035738326,5,False
Diagnosis-N4,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),MCTS-EFE c=5,-3.2560000000000002,-2.7550000000000003,-0.5009999999999999,-1.1450389203678997,0.2853209979706976,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=1 uniform,0.9540000000000001,0.223,0.7310000000000001,41.51801008346045,1.711408874994771e-07,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=1 uniform,-25.019,-43.99,18.971000000000004,20.145599592142517,1.160955294211146e-05,5,True
Tileworld-6x6,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=1 uniform,0.11300000000000002,0.223,-0.10999999999999999,-5.5487659953585,0.0009214607696043106,5,True
Tileworld-6x6,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=1 uniform,-46.546,-43.99,-2.5559999999999974,-2.339855466402417,0.05196345530754725,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=2 uniform,0.9540000000000001,0.197,0.7570000000000001,41.20586078415259,2.1959783384256827e-07,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=2 uniform,-25.019,-44.778000000000006,19.759000000000007,19.778020768718935,1.4363518134719148e-05,5,True
Tileworld-6x6,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=2 uniform,0.11300000000000002,0.197,-0.08399999999999999,-4.096342732391033,0.005088121837985941,5,False
Tileworld-6x6,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=2 uniform,-46.546,-44.778000000000006,-1.7679999999999936,-1.547918714484045,0.16729539314108277,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=5 uniform,0.9540000000000001,0.11300000000000002,0.8410000000000001,68.6673624560218,4.466487652073523e-10,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=5 uniform,-25.019,-46.546,21.527,32.81417626501062,2.4604489623981485e-07,5,True
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=10 uniform,0.9540000000000001,0.075,0.8790000000000001,93.43664580699073,7.561690246924595e-13,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=10 uniform,-25.019,-47.427,22.408,42.97604501005195,6.9974327096040975e-09,5,True
Tileworld-6x6,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=10 uniform,0.11300000000000002,0.075,0.03800000000000002,2.9016934836206096,0.022615168201426533,5,False
Tileworld-6x6,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=10 uniform,-46.546,-47.427,0.8810000000000002,1.158448639591147,0.28250536974285084,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=20 uniform,0.9540000000000001,0.05500000000000001,0.899,80.0892854930899,4.6338984217742824e-11,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=20 uniform,-25.019,-47.865,22.846000000000004,37.3517870190336,7.388561270266934e-08,5,True
