env,agent,label,exploration_constant,rollout_policy,horizon,sim_budget,vary_agent_seed,success,reward,std_reward,obs,se_success_seed_level,se_reward_seed_level,se_reward_pooled,n_seeds,wall_clock_s,ms_per_ep,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,POMCP,POMCP c=1 uniform,1.0,uniform,10,500,True,0.8933333333333333,-3.35,33.78511753223106,1.6166666666666667,0.006666666666666672,0.725143663926903,1.9505846701836747,3,2.9543848037719727,9.847949345906576,11|22|33,100,418f844,2026-09-18T02:19:48Z
Tiger,POMCP,POMCP c=2 uniform,2.0,uniform,10,500,True,0.88,-4.833333333333333,35.60625725284189,1.6333333333333333,0.01527525231651948,1.586624649303602,2.055728220976333,3,3.0978147983551025,10.326049327850342,11|22|33,100,418f844,2026-09-18T02:19:52Z
Tiger,POMCP,POMCP c=5 uniform,5.0,uniform,10,500,True,0.8966666666666666,-3.1,33.26314276593038,1.7333333333333334,0.021858128414339983,2.349404179786867,1.9204484430002857,3,3.2021827697753906,10.673942565917969,11|22|33,100,418f844,2026-09-18T02:19:55Z
Tiger,POMCP,POMCP c=10 uniform,10.0,uniform,10,500,True,0.89,-3.9166666666666665,34.24660161566724,1.8166666666666667,0.015275252316519482,1.667356523895768,1.977228466163535,3,3.0371010303497314,10.123670101165771,11|22|33,100,418f844,2026-09-18T02:19:58Z
Tiger,POMCP,POMCP c=20 uniform,20.0,uniform,10,500,True,0.9266666666666666,-0.14,28.53583244507392,2.0733333333333333,0.003333333333333336,0.41016256939576207,1.6475170543713482,3,3.7574210166931152,12.524736722310385,11|22|33,100,418f844,2026-09-18T02:20:02Z
Tiger,POMCP,POMCP c=50 uniform,50.0,uniform,10,500,True,0.94,0.7666666666666667,25.981125627826227,2.6333333333333333,0.011547005383792493,1.2968208991392933,1.5000209875074955,3,4.722337961196899,15.741126537323,11|22|33,100,418f844,2026-09-18T02:20:06Z
Tiger,POMCP,POMCP c=110 uniform,110.0,uniform,10,500,True,0.9066666666666666,-2.0566666666666666,31.873920199575213,1.79,0.003333333333333336,0.40732187654373675,1.8402416407353397,3,3.266617774963379,10.888725916544596,11|22|33,100,418f844,2026-09-18T02:20:10Z
Tiger,POMCP,POMCP c=5 info-gain,5.0,info_gain,10,500,True,0.8966666666666666,-3.1,33.26314276593038,1.7333333333333334,0.021858128414339983,2.349404179786867,1.9204484430002857,3,2.9650511741638184,9.883503913879395,11|22|33,100,418f844,2026-09-18T02:20:13Z
Tiger,POMCP,POMCP c=110 info-gain,110.0,info_gain,10,500,True,0.9066666666666666,-2.0566666666666666,31.873920199575213,1.79,0.003333333333333336,0.40732187654373675,1.8402416407353397,3,3.604228973388672,12.014096577962238,11|22|33,100,418f844,2026-09-18T02:20:16Z
Tiger,MCTS-EFE,MCTS-EFE c=110 (default),110.0,efe,10,500,False,0.97,2.93,18.533530874246996,3.77,0.01000000000000001,0.9514199913813038,1.0700339039280742,3,4.352828025817871,14.509426752726236,11|22|33,100,418f844,2026-09-18T02:20:20Z
Tiger,MCTS-EFE,MCTS-EFE c=5,5.0,efe,10,500,False,0.97,2.9433333333333334,18.63205451783446,3.756666666666667,0.005773502691896263,0.5946801194292984,1.0757221691427508,3,211.18802118301392,703.9600706100464,11|22|33,100,418f844,2026-09-18T02:23:52Z
Diagnosis-N4,POMCP,POMCP c=1 uniform,1.0,uniform,5,200,True,0.7266666666666667,-10.133333333333333,26.314803607264274,3.7333333333333334,0.017638342073763955,1.0593446611519366,1.5192858946326162,3,3.5531561374664307,11.84385379155477,11|22|33,100,418f844,2026-09-18T02:23:55Z
Diagnosis-N4,POMCP,POMCP c=2 uniform,2.0,uniform,5,200,True,0.7133333333333334,-10.8,26.785319362168025,3.6,0.006666666666666672,0.5108163401197474,1.5464511344077803,3,3.5720620155334473,11.906873385111492,11|22|33,100,418f844,2026-09-18T02:23:59Z
Diagnosis-N4,POMCP,POMCP c=5 uniform,5.0,uniform,5,200,True,0.7233333333333334,-10.486666666666666,26.528911691879777,3.8866666666666667,0.008819171036881977,0.4189802435013432,1.5316474306614598,3,4.196042776107788,13.986809253692627,11|22|33,100,418f844,2026-09-18T02:24:03Z
Diagnosis-N4,POMCP,POMCP c=10 uniform,10.0,uniform,5,200,True,0.6966666666666667,-11.943333333333333,27.397082366964227,3.743333333333333,0.006666666666666672,0.3067210096778141,1.5817712879577144,3,3.8625311851501465,12.875103950500488,11|22|33,100,418f844,2026-09-18T02:24:07Z
