episode,usage,weight,w_avg,lr,budget,curve_w_star,rescaled,reward,success
0,20.0,0.3999999999999999,0.7,0.05,8.0,0.001,False,-10.0,True
1,16.0,0.007843137254901877,0.46928104575163393,0.049019607843137254,8.0,0.001,False,-6.0,True
2,4.0,0.2001508295625942,0.401998491704374,0.04807692307692308,8.0,0.001,False,6.0,True
3,4.0,0.38883007484561305,0.39936480833262183,0.04716981132075472,8.0,0.001,False,-54.0,False
4,6.0,0.4814226674382056,0.4130411181835525,0.046296296296296294,8.0,0.001,False,4.0,True
5,6.0,0.5723317583472965,0.4357969239212302,0.045454545454545456,8.0,0.001,False,4.0,True
6,10.0,0.48304604406158225,0.44170306393877423,0.044642857142857144,8.0,0.001,False,0.0,True
7,8.0,0.48304604406158225,0.4462967283968641,0.043859649122807015,8.0,0.001,False,2.0,True
8,6.0,0.5692529406133064,0.45859234961850837,0.04310344827586207,8.0,0.001,False,4.0,True
9,8.0,0.5692529406133064,0.4686524033453082,0.04237288135593221,8.0,0.001,False,2.0,True
10,8.0,0.5692529406133064,0.47703578145097475,0.04166666666666667,8.0,0.001,False,2.0,True
11,10.0,0.48728572749855237,0.47782423883924996,0.04098360655737705,8.0,0.001,False,0.0,True
12,18.0,0.08405992104693938,0.44969821613979916,0.040322580645161296,8.0,0.001,False,-8.0,True
13,6.0,0.16342500041201874,0.43061333509128047,0.03968253968253969,8.0,0.001,False,4.0,True
14,4.0,0.31967500041201874,0.42367968917382665,0.0390625,8.0,0.001,False,6.0,True
15,8.0,0.31967500041201874,0.417561766305485,0.038461538461538464,8.0,0.001,False,2.0,True
16,8.0,0.31967500041201874,0.4121236126447369,0.03787878787878788,8.0,0.001,False,2.0,True
17,12.0,0.17042126906873517,0.3994024366670526,0.03731343283582089,8.0,0.001,False,-2.0,True
18,6.0,0.24395068083344107,0.39162984887537206,0.03676470588235295,8.0,0.001,False,4.0,True
19,6.0,0.3164144489493831,0.38804816316461066,0.03623188405797102,8.0,0.001,False,4.0,True
20,12.0,0.1735573060922402,0.37829857875223016,0.03571428571428572,8.0,0.001,False,-2.0,True
21,4.0,0.31440237651477543,0.37552048300277563,0.035211267605633804,8.0,0.001,False,6.0,True
22,8.0,0.31440237651477543,0.37297389523244234,0.034722222222222224,8.0,0.001,False,2.0,True
23,12.0,0.1774160751449124,0.3651515824289411,0.03424657534246576,8.0,0.001,False,-2.0,True
24,8.0,0.1774160751449124,0.35793098599493994,0.033783783783783786,8.0,0.001,False,2.0,True
25,4.0,0.3107494084782457,0.35618352016098836,0.03333333333333333,8.0,0.001,False,-54.0,False
26,6.0,0.37653888216245623,0.3569104973753265,0.03289473684210526,8.0,0.001,False,4.0,True
27,6.0,0.4414739470975212,0.35982647840022974,0.03246753246753247,8.0,0.001,False,4.0,True
28,14.0,0.24916625478982884,0.35613780427988306,0.032051282051282055,8.0,0.001,False,-4.0,True
29,4.0,0.3757485332708415,0.35677040844088176,0.03164556962025317,8.0,0.001,False,6.0,True
30,8.0,0.3757485332708415,0.357363474841818,0.03125,8.0,0.001,False,2.0,True
31,8.0,0.3757485332708415,0.35792059782451574,0.030864197530864196,8.0,0.001,False,2.0,True
32,10.0,0.31477292351474395,0.35665154858011067,0.03048780487804878,8.0,0.001,False,0.0,True
33,10.0,0.2545319596593223,0.35373384603951674,0.030120481927710843,8.0,0.001,False,0.0,True
34,10.0,0.19500815013551276,0.34932479893107216,0.02976190476190476,8.0,0.001,False,-60.0,False
35,10.0,0.13618462072374804,0.34356425357411746,0.029411764705882353,8.0,0.001,False,0.0,True
36,6.0,0.19432415560746896,0.3396368825749951,0.029069767441860468,8.0,0.001,False,4.0,True
37,4.0,0.3092666843431012,0.33885815954340803,0.02873563218390805,8.0,0.001,False,6.0,True
38,6.0,0.366084866161283,0.339538827208855,0.02840909090909091,8.0,0.001,False,4.0,True
39,6.0,0.4222646414421819,0.34155652999503366,0.02808988764044944,8.0,0.001,False,4.0,True
40,6.0,0.4778201969977375,0.34480090301890753,0.02777777777777778,8.0,0.001,False,4.0,True
41,6.0,0.5327652519427925,0.34917216694736997,0.027472527472527472,8.0,0.001,False,4.0,True
42,32.0,0.0,0.3412364358803843,0.027173913043478264,8.0,0.001,False,-22.0,True
43,4.0,0.10752688172043012,0.3360428902323853,0.02688172043010753,8.0,0.001,False,-54.0,False
44,4.0,0.2139098604438344,0.3333878243674168,0.026595744680851068,8.0,0.001,False,6.0,True
45,8.0,0.2139098604438344,0.3308457400286172,0.026315789473684213,8.0,0.001,False,2.0,True
46,6.0,0.26599319377716774,0.32949464531504535,0.026041666666666668,8.0,0.001,False,4.0,True
47,4.0,0.3690859772823224,0.33030263168172447,0.025773195876288662,8.0,0.001,False,-54.0,False
48,6.0,0.4201063854455877,0.33209870675700176,0.025510204081632654,8.0,0.001,False,4.0,True
49,6.0,0.4706114359506382,0.3348146426235436,0.025252525252525256,8.0,0.001,False,4.0,True
50,8.0,0.4706114359506382,0.3374261194182954,0.025,8.0,0.001,False,2.0,True
