env,w_over_alpha,usage_spread,mean_se,n_scales,within_noise
Diagnosis,0.0,0.15200000000000014,0.12193189018045802,3,True
Diagnosis,0.001,0.24399999999999888,0.08807615383355871,3,True
Diagnosis,0.002283,0.10400000000000098,0.06425586206666113,3,True
Diagnosis,0.00521,0.1720000000000006,0.0693186536381748,3,True
Diagnosis,0.011892,0.31599999999999984,0.09050812135964299,3,True
Diagnosis,0.027144,0.16800000000000015,0.09175203032097794,3,True
Diagnosis,0.061958,0.0600000000000005,0.09468215395727453,3,True
Diagnosis,0.141421,0.4039999999999999,0.1172093537258283,3,True
Diagnosis,0.3228,0.4759999999999991,0.14463718767329536,3,True
Diagnosis,0.736806,0.38400000000000034,0.13778538261712395,3,True
Diagnosis,1.681793,0.41999999999999993,0.17253905541594539,3,True
Diagnosis,3.838766,0.35600000000000165,0.21606463591133426,3,True
Diagnosis,8.762153,0.3280000000000012,0.14760433806665096,3,True
Diagnosis,20.0,0.3280000000000012,0.25235874386395646,3,True
Bandit,0.0,0.21800000000000042,0.08031287505219786,3,True
Bandit,0.001,0.21399999999999997,0.10333741762463944,3,True
Bandit,0.002283,0.07800000000000029,0.08593103034668766,3,True
Bandit,0.00521,0.0739999999999994,0.0895388100293981,3,True
Bandit,0.011892,0.03399999999999981,0.09628033855956264,3,True
Bandit,0.027144,0.20799999999999974,0.0831308971074632,3,True
Bandit,0.061958,0.1639999999999997,0.1122058521067395,3,True
Bandit,0.141421,0.10799999999999965,0.09335474885420887,3,True
Bandit,0.3228,0.19200000000000106,0.11742903012797644,3,True
Bandit,0.736806,0.22200000000000042,0.1294978268195146,3,True
Bandit,1.681793,0.3340000000000005,0.16317312666456843,3,True
Bandit,3.838766,0.3440000000000003,0.20421159503265862,3,True
Bandit,8.762153,0.386000000000001,0.24119137193793586,3,True
Bandit,20.0,0.45199999999999996,0.2545701221313906,3,True
