env,budget,w_star,w_lo,w_hi,usage_at_star,usage_lo,usage_hi,usage_se_at_star,bracketed,achievable,u_min,u_max,note
Tiger,4.480320000000001,0.0,0.0,0.001,4.368,4.368,4.368,0.11217842929904127,False,True,4.368,5.772,
Tiger,4.7751600000000005,0.0,0.0,0.001,4.368,4.368,4.368,0.11217842929904127,False,True,4.368,5.772,
Tiger,5.07,0.0,19.306977288832496,43.93970560760795,4.368,4.368,5.772,0.11217842929904127,True,True,4.368,5.772,
Tiger,5.36484,43.93970560760795,19.306977288832496,43.93970560760795,5.772,4.368,5.772,0.0966643677887566,True,True,4.368,5.772,
Tiger,5.65968,43.93970560760795,19.306977288832496,43.93970560760795,5.772,4.368,5.772,0.0966643677887566,True,True,4.368,5.772,
Diagnosis,6.4848,0.0,0.0,0.001,5.904,5.904,5.904,0.07440430095095302,False,True,5.904,13.163999999999998,
Diagnosis,8.0094,0.31622776601683794,0.13894954943731375,0.31622776601683794,9.772,5.904,9.772,0.14008568806269966,True,True,5.904,13.163999999999998,
Diagnosis,9.533999999999999,0.31622776601683794,0.13894954943731375,0.31622776601683794,9.772,5.904,9.772,0.14008568806269966,True,True,5.904,13.163999999999998,
Diagnosis,11.058599999999998,0.31622776601683794,19.306977288832496,43.93970560760795,9.772,9.772,13.163999999999998,0.14008568806269966,True,True,5.904,13.163999999999998,
Diagnosis,12.583199999999998,43.93970560760795,19.306977288832496,43.93970560760795,13.163999999999998,9.772,13.163999999999998,0.09173875952943769,True,True,5.904,13.163999999999998,
Bandit,3.96096,0.0,0.0610540229658533,0.13894954943731375,3.232,3.232,6.192,0.07598684096605147,True,True,3.232,12.343999999999998,
Bandit,5.874479999999999,0.13894954943731375,1.6378937069540647,3.7275937203149416,6.192,5.108,7.318,0.16785112451216996,True,True,3.232,12.343999999999998,
Bandit,7.7879999999999985,3.7275937203149416,1.6378937069540647,3.7275937203149416,7.318,5.108,7.318,0.16066735822811057,True,True,3.232,12.343999999999998,
Bandit,9.701519999999999,19.306977288832496,3.7275937203149416,8.483428982440726,9.856,7.318,8.924000000000001,0.13515176654413347,True,True,3.232,12.343999999999998,
Bandit,11.615039999999997,43.93970560760795,19.306977288832496,43.93970560760795,11.068000000000001,9.856,11.068000000000001,0.10547037498748181,True,True,3.232,12.343999999999998,
Tileworld-6x6,16.1842,0.0,0.0,0.001,15.645,15.645,15.645,0.1577973383805952,False,True,14.745,32.735,
Tileworld-6x6,19.9621,0.0,5.623413251903491,23.71373705661655,15.645,14.745,24.595,0.1577973383805952,True,True,14.745,32.735,
Tileworld-6x6,23.740000000000002,23.71373705661655,5.623413251903491,23.71373705661655,24.595,14.745,24.595,0.3136877428271624,True,True,14.745,32.735,
Tileworld-6x6,27.5179,23.71373705661655,23.71373705661655,100.0,24.595,24.595,32.735,0.3136877428271624,True,True,14.745,32.735,
Tileworld-6x6,31.2958,100.0,23.71373705661655,100.0,32.735,24.595,32.735,0.34174186164413656,True,True,14.745,32.735,
Inspection-N8,14.043466666666665,0.31622776601683794,0.046415888336127795,2.1544346900318843,13.959999999999999,12.7,15.573333333333332,0.11175369742826792,False,True,12.7,29.493333333333332,
Inspection-N8,17.570066666666666,14.677992676220706,2.1544346900318843,14.677992676220706,19.533333333333335,15.573333333333332,19.533333333333335,0.25991451586157216,True,True,12.7,29.493333333333332,
Inspection-N8,21.096666666666664,14.677992676220706,2.1544346900318843,14.677992676220706,19.533333333333335,15.573333333333332,19.533333333333335,0.25991451586157216,True,True,12.7,29.493333333333332,
Inspection-N8,24.623266666666666,100.0,14.677992676220706,100.0,29.493333333333332,19.533333333333335,29.493333333333332,0.14079141387961955,True,True,12.7,29.493333333333332,
Inspection-N8,28.149866666666664,100.0,14.677992676220706,100.0,29.493333333333332,19.533333333333335,29.493333333333332,0.14079141387961955,True,True,12.7,29.493333333333332,
