instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[11,11]",Reward,Greedy,POMCP (1000),-18.9,-87.22,68.32,2.744061552868426,43.38742273381388,1.0098421075537955e-196,5,4.746416559654801e-09,37.63173624503037,True,True
"RS[11,11]",Reward,Greedy,Planning (d=2),-18.9,13.228,-32.128,-1.3811793227696965,-21.838362585405516,9.987008918584308e-76,5,4.0957222441454375e-06,-19.16438940763104,True,True
"RS[11,11]",Reward,Greedy,Plan+IG w=5 (d=2),-18.9,13.176,-32.076,-1.377227856550781,-21.77588441866058,1.6489260436049948e-75,5,4.8333783386067985e-06,-19.224201915222746,True,True
"RS[11,11]",Reward,Greedy,Plan+IG w=10 (d=2),-18.9,13.176,-32.076,-1.377227856550781,-21.77588441866058,1.6489260436049948e-75,5,4.8333783386067985e-06,-19.224201915222746,True,True
"RS[11,11]",Reward,Greedy,EFE w=1 (d=2),-18.9,13.228,-32.128,-1.3811793227696965,-21.838362585405516,9.987008918584308e-76,5,4.0957222441454375e-06,-19.16438940763104,True,True
"RS[11,11]",Reward,POMCP (1000),Planning (d=2),-87.22,13.228,-100.448,-9.709774181875076,-153.5250099031163,0.0,5,3.9579017330754574e-11,-124.93107157495194,True,True
"RS[11,11]",Reward,POMCP (1000),Plan+IG w=5 (d=2),-87.22,13.176,-100.396,-9.644146003828766,-152.48733729654933,0.0,5,1.552457063025455e-10,-127.50664653183051,True,True
"RS[11,11]",Reward,POMCP (1000),Plan+IG w=10 (d=2),-87.22,13.176,-100.396,-9.644146003828766,-152.48733729654933,0.0,5,1.552457063025455e-10,-127.50664653183051,True,True
"RS[11,11]",Reward,POMCP (1000),EFE w=1 (d=2),-87.22,13.228,-100.448,-9.709774181875076,-153.5250099031163,0.0,5,3.9579017330754574e-11,-124.93107157495194,True,True
"RS[11,11]",Reward,Planning (d=2),Plan+IG w=5 (d=2),13.228,13.176,0.0519999999999996,0.009561720351351501,0.151184073299281,0.8798611299730017,5,0.8283972878125231,0.14182843837777132,False,False
"RS[11,11]",Reward,Planning (d=2),Plan+IG w=10 (d=2),13.228,13.176,0.0519999999999996,0.009561720351351501,0.151184073299281,0.8798611299730017,5,0.8283972878125231,0.14182843837777132,False,False
"RS[11,11]",Reward,Planning (d=2),EFE w=1 (d=2),13.228,13.228,0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
"RS[11,11]",Reward,Plan+IG w=5 (d=2),Plan+IG w=10 (d=2),13.176,13.176,0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
"RS[11,11]",Reward,Plan+IG w=5 (d=2),EFE w=1 (d=2),13.176,13.228,-0.0519999999999996,-0.009561720351351501,-0.151184073299281,0.8798611299730017,5,0.8283972878125231,-0.14182843837777132,False,False
"RS[11,11]",Reward,Plan+IG w=10 (d=2),EFE w=1 (d=2),13.176,13.228,-0.0519999999999996,-0.009561720351351501,-0.151184073299281,0.8798611299730017,5,0.8283972878125231,-0.14182843837777132,False,False
