instance,agent,mean_reward,std_reward,se_reward_pooled,se_reward_seed_level,mean_good,mean_bad,se_bad_seed_level,mean_checks,mean_steps,truncation_rate,mean_planning_ms,mean_tree_depth,time_s,n_seeds,episodes_per_seed,seed_list,num_simulations,stage,exploration_constant,planning_horizon,root_criterion,rollout_policy
"RS[5,3]",Rollout only (approach),17.155,9.083087305536592,0.4062080132149044,0.43986929876953207,1.482,0.088,0.009165151389911677,3.0,13.57,0.0,0.002138007053113494,0.0,0.03635978698730469,5,100,42|123|456|789|1024,0,budget,5.0,10,value,approach
"RS[5,3]",POMCP (256 sims),11.73,7.881440223715461,0.3524687220165784,0.3045693681248987,1.154,0.062,0.011575836902790225,9.428,18.38,0.0,5.486058917863658,4.824,49.70718193054199,5,100,42|123|456|789|1024,256,budget,5.0,10,value,approach
"RS[5,3]",POMCP (1024 sims),13.19,7.415922060000361,0.3316501168400216,0.499649877414175,0.944,0.07,0.008366600265340755,4.95,11.1,0.0,23.244086274023807,6.252,127.27522373199463,5,100,42|123|456|789|1024,1024,budget,5.0,10,value,approach
"RS[5,3]",POMCP (4096 sims),12.367,5.2115075554008365,0.23306570318260042,0.137182360382084,0.516,0.024,0.003999999999999999,1.758,5.106,0.0,92.20017233213044,7.47,237.34823894500732,5,100,42|123|456|789|1024,4096,budget,5.0,10,value,approach
"RS[5,3]",POMCP (16384 sims),12.516,5.17829547245037,0.2315804136795683,0.2621993516391679,0.52,0.018,0.007348469228349534,1.486,5.008,0.0,290.00894515595013,8.334,731.3351547718048,5,100,42|123|456|789|1024,16384,budget,5.0,10,value,approach
"RS[7,4]",Rollout only (approach),15.698,10.740660873521703,0.48033695672933596,0.4351970817916866,1.866,0.098,0.0037416573867739425,4.0,23.964,0.0,0.002405661486729044,0.0,0.058553218841552734,5,100,42|123|456|789|1024,0,budget,5.0,10,value,approach
"RS[7,4]",POMCP (256 sims),7.531,9.333516968431567,0.41740756821121483,0.1325650783577636,1.0,0.074,0.0116619037896906,12.776,23.458,0.0,6.577344002572151,4.408,75.67849707603455,5,100,42|123|456|789|1024,256,budget,5.0,10,value,approach
"RS[7,4]",POMCP (1024 sims),11.527,7.271572800983293,0.32519462172674385,0.37333831841909804,0.804,0.056,0.010295630140987002,5.434,11.906,0.0,27.314030004943923,5.768,162.33767914772034,5,100,42|123|456|789|1024,1024,budget,5.0,10,value,approach
"RS[7,4]",POMCP (4096 sims),11.346,5.088839160358677,0.22757980578249906,0.08221009670350696,0.462,0.024,0.003999999999999999,2.074,6.068,0.0,105.85158505413179,6.9,328.770938873291,5,100,42|123|456|789|1024,4096,budget,5.0,10,value,approach
"RS[7,4]",POMCP (16384 sims),10.351,3.6420185337254942,0.1628760203344863,0.1606735821471596,0.2,0.018,0.004898979485566356,0.632,2.938,0.0,365.36034962931734,7.03,535.3728241920471,5,100,42|123|456|789|1024,16384,budget,5.0,10,value,approach
"RS[7,8]",Rollout only (approach),28.329,14.135142694716599,0.6321427987409174,0.815990808771765,3.828,0.194,0.027313000567495326,8.0,36.022,0.0,0.0031262830452154985,0.0,0.09833288192749023,5,100,42|123|456|789|1024,0,budget,5.0,10,value,approach
"RS[7,8]",POMCP (256 sims),-3.783,15.47961275355427,0.6922693276464009,0.6911957031116441,2.574,0.112,0.012409673645990856,54.822,76.806,0.0,8.831558803445215,4.058,336.1838309764862,5,100,42|123|456|789|1024,256,budget,5.0,10,value,approach
"RS[7,8]",POMCP (1024 sims),13.535,10.36963234642386,0.46374405656568796,0.37473990980412014,2.214,0.11,0.012649110640673514,21.096,35.01,0.0,38.32834456661442,5.008,663.7869958877563,5,100,42|123|456|789|1024,1024,budget,5.0,10,value,approach
"RS[7,8]",POMCP (4096 sims),15.969,8.36567624283895,0.37412441513485856,0.3726405775006258,1.418,0.058,0.013190905958272919,6.858,15.262,0.0,164.50394258927645,6.228,1249.5087840557098,5,100,42|123|456|789|1024,4096,budget,5.0,10,value,approach
"RS[11,11]",Rollout only (approach),28.658,16.64479005575018,0.7443776407173982,0.830794198342766,5.216,0.228,0.015297058540778358,11.0,62.444,0.0,0.003859677474371457,0.0,0.1846940517425537,5,100,42|123|456|789|1024,0,budget,5.0,10,value,approach
"RS[11,11]",POMCP (256 sims),-1.325,18.457542496226306,0.8254463943830634,1.006672737288539,0.84,0.046,0.010295630140987,30.844,38.53,0.0,11.90200442956191,3.14,223.6406810283661,5,100,42|123|456|789|1024,256,budget,5.0,10,value,approach
"RS[11,11]",POMCP (1024 sims),12.033,5.882636398758638,0.26307949749077747,0.2820531864737571,0.526,0.026,0.003999999999999998,3.668,5.934,0.0,46.71309571255132,4.106,139.43769907951355,5,100,42|123|456|789|1024,1024,budget,5.0,10,value,approach
"RS[11,11]",POMCP (4096 sims),13.136,5.238177545673686,0.23425842140678743,0.1526630276131061,0.476,0.026,0.009273618495495703,1.196,2.728,0.0,177.79041234022006,5.538,245.59530878067017,5,100,42|123|456|789|1024,4096,budget,5.0,10,value,approach
