instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[5,3]",Reward,Rollout only (approach),POMCP (256 sims),17.155,11.73,5.425000000000001,0.6373330945926546,10.07712103558166,8.619941979806421e-23,5,1.740798130272143e-05,6.412965255812364,True,True
"RS[5,3]",Reward,Rollout only (approach),POMCP (1024 sims),17.155,13.19,3.9650000000000016,0.4777213790773376,7.553438224205472,9.864042011456373e-14,5,0.0003612508487472,3.767082754052808,True,True
"RS[5,3]",Reward,Rollout only (approach),POMCP (4096 sims),17.155,12.367,4.788,0.6459602036429895,10.213527606690214,4.2699748934897316e-23,5,0.0001862921389288,6.572113408578052,True,True
"RS[5,3]",Reward,Rollout only (approach),POMCP (16384 sims),17.155,12.516,4.639000000000001,0.6268452706258866,9.911293978412216,6.573197367602726e-22,5,6.242538290690266e-05,5.729415022534772,True,True
"RS[5,3]",Reward,POMCP (256 sims),POMCP (1024 sims),11.73,13.19,-1.459999999999999,-0.1906033683307414,-3.013703868125745,0.0026462162252705,5,0.0432289929712531,-1.5780038054230203,True,False
"RS[5,3]",Reward,POMCP (256 sims),POMCP (4096 sims),11.73,12.367,-0.6370000000000005,-0.0952467406960094,-1.5059832015342056,0.1324364199989581,5,0.109000027929889,-1.2060722645282074,False,False
"RS[5,3]",Reward,POMCP (256 sims),POMCP (16384 sims),11.73,12.516,-0.7859999999999996,-0.1177535925100513,-1.8618477749955291,0.0629646203398094,5,0.0870174643476339,-1.2369481308219412,False,False
"RS[5,3]",Reward,POMCP (1024 sims),POMCP (4096 sims),13.19,12.367,0.8229999999999986,0.1282806714420034,2.0282955076622375,0.0428257350103237,5,0.1781010900665155,1.004575907361535,False,False
"RS[5,3]",Reward,POMCP (1024 sims),POMCP (16384 sims),13.19,12.516,0.6739999999999995,0.1052774263127268,1.6645822667437948,0.0963472605696363,5,0.2770291170361205,0.7554476693107967,False,False
"RS[5,3]",Reward,POMCP (4096 sims),POMCP (16384 sims),12.367,12.516,-0.1489999999999991,-0.0286531254793482,-0.453045692986721,0.65061432032224,5,0.6324409883440112,-0.3184525923252699,False,False
"RS[5,3]",Bad,Rollout only (approach),POMCP (256 sims),0.088,0.062,0.0259999999999999,0.0973375304675113,1.5390414904668497,0.1241217933866737,5,0.1182550890005184,1.11371763588311,False,False
"RS[5,3]",Bad,Rollout only (approach),POMCP (1024 sims),0.088,0.07,0.0179999999999999,0.0658023549602593,1.04042658538649,0.2983978834556519,5,0.1852785207042743,0.9173649445877262,False,False
"RS[5,3]",Bad,Rollout only (approach),POMCP (4096 sims),0.088,0.024,0.064,0.2755451168888819,4.35675083753098,1.5022275565975264e-05,5,0.0009828021155048,4.047715405015527,True,True
"RS[5,3]",Bad,Rollout only (approach),POMCP (16384 sims),0.088,0.018,0.0699999999999999,0.3097583595923799,4.897709702946933,1.2053530893356357e-06,5,0.0004049149334133,3.7686733144071582,True,True
"RS[5,3]",Bad,POMCP (256 sims),POMCP (1024 sims),0.062,0.07,-0.008,-0.0321933536698207,-0.509021615579869,0.6108499463590495,5,0.5922066933684539,-0.3542459542160378,False,False
"RS[5,3]",Bad,POMCP (256 sims),POMCP (4096 sims),0.062,0.024,0.038,0.1879628470484433,2.9719535608146925,0.0030430684897056,5,0.0271931200396317,1.9623115620784248,True,False
"RS[5,3]",Bad,POMCP (256 sims),POMCP (16384 sims),0.062,0.018,0.044,0.2257390483388527,3.5692477479481206,0.000379999982134,5,0.0155593551981506,2.029568657663547,True,False
"RS[5,3]",Bad,POMCP (1024 sims),POMCP (4096 sims),0.07,0.024,0.046,0.2184276359459925,3.45364416757702,0.0005815314792414,5,0.0028957443884578,3.137173961564178,True,True
"RS[5,3]",Bad,POMCP (1024 sims),POMCP (16384 sims),0.07,0.018,0.052,0.2553473729145337,4.037396464751572,5.9592321533412445e-05,5,0.0016754446515231,2.9534015380847367,True,True
"RS[5,3]",Bad,POMCP (4096 sims),POMCP (16384 sims),0.024,0.018,0.006,0.0418129306301676,0.6611204821897467,0.5086906231769346,5,0.4994892807987064,0.4535573676110728,False,False
"RS[7,4]",Reward,Rollout only (approach),POMCP (256 sims),15.698,7.531,8.167000000000002,0.8108783189260629,12.821111965273897,6.742280149561624e-35,5,1.543968554571602e-05,11.353737561778171,True,True
"RS[7,4]",Reward,Rollout only (approach),POMCP (1024 sims),15.698,11.527,4.171000000000001,0.4543169799947374,7.183382182362616,1.4524954082345609e-12,5,9.650059717486098e-05,4.600645930379759,True,True
"RS[7,4]",Reward,Rollout only (approach),POMCP (4096 sims),15.698,11.346,4.352,0.5173238555838845,8.179608357925455,1.3069631719882236e-15,5,0.0004249609770752,6.214686005197935,True,True
"RS[7,4]",Reward,Rollout only (approach),POMCP (16384 sims),15.698,10.351,5.3469999999999995,0.6660792585387716,10.531637795893378,5.9710372612334424e-24,5,7.887152429472066e-05,7.289645914700676,True,True
"RS[7,4]",Reward,POMCP (256 sims),POMCP (1024 sims),7.531,11.527,-3.996,-0.4771520130455734,-7.544435756791939,1.0692337833565988e-13,5,0.0001653713926527,-6.379224666279518,True,True
"RS[7,4]",Reward,POMCP (256 sims),POMCP (4096 sims),7.531,11.346,-3.815,-0.5070079765054232,-8.016499988151372,4.02383561716211e-15,5,8.691695139067697e-08,-15.468052379626611,True,True
"RS[7,4]",Reward,POMCP (256 sims),POMCP (16384 sims),7.531,10.351,-2.820000000000001,-0.3976566914716466,-6.287504359286289,5.932786282351881e-10,5,1.1801032133017483e-06,-8.562227860160844,True,True
"RS[7,4]",Reward,POMCP (1024 sims),POMCP (4096 sims),11.527,11.346,0.1809999999999991,0.028811956845121,0.455557037385308,0.6488192633307288,5,0.6584862182302216,0.2994497942563049,False,False
"RS[7,4]",Reward,POMCP (1024 sims),POMCP (16384 sims),11.527,10.351,1.1759999999999984,0.204293836897752,3.230169182659219,0.0012922673106414,5,0.0309071309371262,1.8299346560333212,True,False
"RS[7,4]",Reward,POMCP (4096 sims),POMCP (16384 sims),11.346,10.351,0.9949999999999992,0.2246356987849251,3.55180225971941,0.0004023686757247,5,0.0015298992792196,3.486696913325447,True,True
"RS[7,4]",Bad,Rollout only (approach),POMCP (256 sims),0.098,0.074,0.024,0.0834939191675525,1.3201547767172797,0.1870946895587244,5,0.1095489867373426,1.2393546707863738,False,False
