env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
Tiger,Reward,Myopic,Planning,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,Myopic,InfoGain,-7.148,"[-8.204, -6.092]",-7.148,"[-8.204, -6.092]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,Myopic,InfoGain-Tuned,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,Myopic,Planning+IG,-7.148,"[-8.204, -6.092]",4.2112,"[4.078, 4.328]",-11.3592,-0.4099087366638484,-20.49543683319242,1.7653663109146195e-91,5,5.635774626079421e-06,-17.31292507632599,True,True
Tiger,Reward,Myopic,EpistemicOnly,-7.148,"[-8.204, -6.092]",-45.308,"[-46.870, -43.746]",38.16,0.8008138399884581,40.040691999422904,0.0,5,2.9105525555401683e-07,21.342695793223367,True,True
Tiger,Reward,Myopic,EFE,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,Myopic,Thompson,-7.148,"[-8.204, -6.092]",3.7912,"[3.246, 4.323]",-10.9392,-0.3552350232665375,-17.761751163326874,1.6250456005278629e-69,5,4.728324847204514e-08,-12.970576524718643,True,True
Tiger,Reward,Myopic,PyMDP-AIF,-7.148,"[-8.204, -6.092]",3.7912,"[3.246, 4.323]",-10.9392,-0.3552350232665375,-17.761751163326874,1.6250456005278629e-69,5,4.728324847204514e-08,-12.970576524718643,True,True
Tiger,Reward,Planning,InfoGain,5.186,"[4.936, 5.408]",-7.148,"[-8.204, -6.092]",12.334,0.43786166540246974,21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,17.061563461976,True,True
Tiger,Reward,Planning,InfoGain-Tuned,5.186,"[4.936, 5.408]",5.186,"[4.936, 5.408]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,Planning,Planning+IG,5.186,"[4.936, 5.408]",4.2112,"[4.078, 4.328]",0.9748000000000001,0.14438658935280926,7.219329467640463,5.604757367000324e-13,5,0.006635581344219606,2.7929902138934564,True,False
Tiger,Reward,Planning,EpistemicOnly,5.186,"[4.936, 5.408]",-45.308,"[-46.870, -43.746]",50.494,1.2832449486630222,64.16224743315112,0.0,5,5.282919563699291e-07,29.711859172582585,True,True
Tiger,Reward,Planning,EFE,5.186,"[4.936, 5.408]",5.186,"[4.936, 5.408]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,Planning,Thompson,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,Planning,PyMDP-AIF,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,InfoGain,InfoGain-Tuned,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,InfoGain,Planning+IG,-7.148,"[-8.204, -6.092]",4.2112,"[4.078, 4.328]",-11.3592,-0.4099087366638484,-20.49543683319242,1.7653663109146195e-91,5,5.635774626079421e-06,-17.31292507632599,True,True
Tiger,Reward,InfoGain,EpistemicOnly,-7.148,"[-8.204, -6.092]",-45.308,"[-46.870, -43.746]",38.16,0.8008138399884581,40.040691999422904,0.0,5,2.9105525555401683e-07,21.342695793223367,True,True
Tiger,Reward,InfoGain,EFE,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,InfoGain,Thompson,-7.148,"[-8.204, -6.092]",3.7912,"[3.246, 4.323]",-10.9392,-0.3552350232665375,-17.761751163326874,1.6250456005278629e-69,5,4.728324847204514e-08,-12.970576524718643,True,True
Tiger,Reward,InfoGain,PyMDP-AIF,-7.148,"[-8.204, -6.092]",3.7912,"[3.246, 4.323]",-10.9392,-0.3552350232665375,-17.761751163326874,1.6250456005278629e-69,5,4.728324847204514e-08,-12.970576524718643,True,True
Tiger,Reward,InfoGain-Tuned,Planning+IG,5.186,"[4.936, 5.408]",4.2112,"[4.078, 4.328]",0.9748000000000001,0.14438658935280926,7.219329467640463,5.604757367000324e-13,5,0.006635581344219606,2.7929902138934564,True,False
Tiger,Reward,InfoGain-Tuned,EpistemicOnly,5.186,"[4.936, 5.408]",-45.308,"[-46.870, -43.746]",50.494,1.2832449486630222,64.16224743315112,0.0,5,5.282919563699291e-07,29.711859172582585,True,True
Tiger,Reward,InfoGain-Tuned,EFE,5.186,"[4.936, 5.408]",5.186,"[4.936, 5.408]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,InfoGain-Tuned,Thompson,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,InfoGain-Tuned,PyMDP-AIF,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
