env,agent,sim_budget,success,reward,std_reward,obs,wall_clock_s,ms_per_ep
Tiger,EFE,0,0.9912,4.7936,10.572974938020046,4.2384,155.22014784812927,62.08805913925171
Tiger,Planning,0,0.9968,5.428,6.59921328644559,4.22,4.2040510177612305,1.6816204071044922
Tiger,POMCP(500),500,0.8788,-5.032,35.74290105741279,1.7,22.06863284111023,8.827453136444092
Tiger,POMCP(1000),1000,0.8932,-3.4228,33.857974543082165,1.6748,42.509639263153076,17.00385570526123
Tiger,POMCP(2000),2000,0.8884,-3.978,34.50290300829772,1.702,85.56445908546448,34.22578363418579
Tiger,POMCP(5000),5000,0.8904,-3.7564,34.222300609982376,1.7004,213.3938639163971,85.35754556655884
Diagnosis,EFE,0,0.9748,-1.2224,10.080006857140525,9.7104,213.52773094177246,85.41109237670898
Diagnosis,Planning,0,0.8952,-2.112,18.53412679356651,5.824,4.538586854934692,1.815434741973877
Diagnosis,POMCP(500),500,0.704,-11.5512,27.16976589078382,3.7912,68.70528888702393,27.48211555480957
Diagnosis,POMCP(1000),1000,0.7312,-10.042,26.39865595063506,3.914,143.00147676467896,57.200590705871576
Diagnosis,POMCP(2000),2000,0.71,-11.3516,26.969226489463875,3.9516,290.6719810962677,116.26879243850708
Diagnosis,POMCP(5000),5000,0.7152,-11.0844,26.853418341805202,3.9964,748.7825322151184,299.51301288604736
Bandit,EFE,0,0.858,6.1122,3.5441940071051414,5.2196,100.79276180267334,40.317104721069335
Bandit,Planning,0,0.6996,5.701,3.9918791314367223,3.1908,2.3664839267730713,0.9465935707092284
Bandit,POMCP(500),500,0.9144,5.113,3.207636357195123,8.2332,195.13337206840515,78.05334882736206
Bandit,POMCP(1000),1000,0.9684,2.5126,5.469766104688573,14.406,657.1956470012665,262.87825880050656
Bandit,POMCP(2000),2000,0.9848,2.1788,5.2937350292586425,15.3688,1469.6748719215393,587.8699487686158
Bandit,POMCP(5000),5000,0.0,-100.0,0.0,200.0,42544.03064107895,17017.61225643158
Tileworld-6x6,EFE,0,0.695,-23.399,27.890460716883112,15.099,249.58683800697327,249.58683800697327
Tileworld-6x6,Planning,0,0.719,-22.368,27.425144958595936,15.508,30.699293851852417,30.699293851852417
Tileworld-6x6,POMCP(500),500,0.055,-48.474,13.50878691815072,1.774,24.4776508808136,24.4776508808136
Tileworld-6x6,POMCP(1000),1000,0.095,-48.255,17.491768778485497,3.955,103.31157302856445,103.31157302856445
Tileworld-6x6,POMCP(2000),2000,0.119,-47.652,19.422123879740855,4.792,268.46116375923157,268.46116375923157
Tileworld-6x6,POMCP(5000),5000,0.158,-45.5,21.907761181827777,4.98,731.1502060890198,731.1502060890198
