agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,N,time_s
MyopicAgent,1.0,0.0,0.7219280948873621,0.8,0.8,-3.0,24.0,2,0.042977094650268555
PlanningAgent,3.004,1.7181338713848813,0.32275695889739814,0.9411764705882354,0.954,4.236,12.71346939273462,2,0.0679779052734375
InformationGainAgent,1.0,0.0,0.7219280948873621,0.8,0.824,-1.56,22.849210051990855,2,0.21472787857055664
VFEAgent,3.076,1.702417105177224,0.32275695889739814,0.9411764705882354,0.932,2.844,15.148322151314316,2,1.1180481910705566
MyopicAgent,2.0,0.0,1.4438561897747242,0.6400000000000002,0.674,-11.56,28.12483599952185,4,0.05808115005493164
PlanningAgent,5.772,2.302176361619587,0.645513917794796,0.8858131487889273,0.886,-2.612,19.26326701263314,4,0.24167084693908691
InformationGainAgent,2.0,0.0,1.4438561897747242,0.6400000000000002,0.626,-14.44,29.031817028908126,4,0.5792760848999023
VFEAgent,5.892,2.4389210729336854,0.645513917794796,0.8858131487889273,0.88,-3.092,19.628131240645402,4,6.13796591758728
MyopicAgent,3.0,0.0,2.165784284662087,0.5120000000000002,0.526,-21.44,29.95941254430734,8,0.09336209297180176
PlanningAgent,8.636,2.6839344254284603,0.9682708766921945,0.8337064929778143,0.834,-8.596,22.51339121500801,8,0.8471381664276123
InformationGainAgent,3.0,0.0,2.165784284662087,0.5120000000000002,0.486,-23.84,29.988237694136014,8,1.1346611976623535
VFEAgent,8.864,2.9538964098288893,0.9682708766921944,0.8337064929778143,0.826,-9.304,22.77392333349702,8,18.625633001327515
MyopicAgent,4.0,0.0,2.8877123795494484,0.40960000000000013,0.424,-28.56,29.651414806042563,16,0.17720985412597656
PlanningAgent,11.712,3.44747095709304,1.291027835589592,0.7846649345673544,0.748,-16.832,26.460154496903453,16,2.811886787414551
InformationGainAgent,4.0,0.0,2.8877123795494484,0.40960000000000013,0.374,-31.56,29.03181702890813,16,1.924894094467163
VFEAgent,11.588,3.0851670943402723,1.291027835589592,0.7846649345673544,0.744,-16.948,26.26033693614764,16,41.74919867515564
