env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,significant_hb
InfoSeeking,Reward,Myopic,Planning,0.39960000000000007,"[0.383, 0.416]",0.47758,"[0.465, 0.490]",-0.07797999999999994,-0.1025262652214379,-7.249701738780923,4.329033915247815e-13,True
InfoSeeking,Reward,Myopic,InfoGain,0.39960000000000007,"[0.383, 0.416]",0.4723,"[0.460, 0.485]",-0.07269999999999993,-0.09535245004079551,-6.742436402659799,1.600024447956578e-11,True
InfoSeeking,Reward,Myopic,InfoGain-Tuned,0.39960000000000007,"[0.383, 0.416]",0.0038599999999999524,"[-0.007, 0.014]",0.3957400000000001,0.5492976046281547,38.841206112209534,0.0,True
InfoSeeking,Reward,Myopic,Planning+IG,0.39960000000000007,"[0.383, 0.416]",-0.20114000000000012,"[-0.213, -0.189]",0.6007400000000002,0.8057327240643741,56.97390730098283,0.0,True
InfoSeeking,Reward,Myopic,EpistemicOnly,0.39960000000000007,"[0.383, 0.416]",0.4832,"[0.471, 0.496]",-0.08359999999999995,-0.11053715003772047,-7.816156836470698,5.714278970303312e-15,True
InfoSeeking,Reward,Myopic,EFE,0.39960000000000007,"[0.383, 0.416]",0.36550000000000005,"[0.355, 0.376]",0.03410000000000002,0.04755986672099828,3.36299042707463,0.0007724766278888167,True
InfoSeeking,Reward,Myopic,Thompson,0.39960000000000007,"[0.383, 0.416]",0.47856000000000004,"[0.466, 0.491]",-0.07895999999999997,-0.10393579044786963,-7.349370223367261,2.0680294700125328e-13,True
InfoSeeking,Reward,Myopic,PyMDP-AIF,0.39960000000000007,"[0.383, 0.416]",0.47456000000000004,"[0.462, 0.487]",-0.07495999999999997,-0.09869293839949964,-6.978644599751241,3.0736641243244148e-12,True
InfoSeeking,Reward,Planning,InfoGain,0.47758,"[0.465, 0.490]",0.4723,"[0.460, 0.485]",0.005280000000000007,0.00825280152192005,0.5835611919936328,0.559522157551496,False
InfoSeeking,Reward,Planning,InfoGain-Tuned,0.47758,"[0.465, 0.490]",0.0038599999999999524,"[-0.007, 0.014]",0.47372000000000003,0.8041174456999507,56.85968987248406,0.0,True
InfoSeeking,Reward,Planning,Planning+IG,0.47758,"[0.465, 0.490]",-0.20114000000000012,"[-0.213, -0.189]",0.6787200000000001,1.0954103302848113,77.45720727261859,0.0,True
InfoSeeking,Reward,Planning,EpistemicOnly,0.47758,"[0.465, 0.490]",0.4832,"[0.471, 0.496]",-0.005620000000000014,-0.008885827471212327,-0.6283228861347948,0.5297996176330217,False
InfoSeeking,Reward,Planning,EFE,0.47758,"[0.465, 0.490]",0.36550000000000005,"[0.355, 0.376]",0.11207999999999996,0.1916270518596948,13.55007878287764,1.2086869407426216e-41,True
InfoSeeking,Reward,Planning,Thompson,0.47758,"[0.465, 0.490]",0.47856000000000004,"[0.466, 0.491]",-0.0009800000000000364,-0.0015396185759029538,-0.10886747354617539,0.913308697890713,False
InfoSeeking,Reward,Planning,PyMDP-AIF,0.47758,"[0.465, 0.490]",0.47456000000000004,"[0.462, 0.487]",0.003019999999999967,0.004746072417726944,0.3355979990577154,0.7371775535896998,False
