env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,significant_hb
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,Planning,-49.1,"[-49.600, -48.500]",-49.1,"[-49.600, -48.500]",0.0,0.0,0.0,1.0,False
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,InfoGain,-49.1,"[-49.600, -48.500]",-48.3,"[-49.100, -47.400]",-0.8000000000000043,-0.0915994401211604,-1.5865488423471288,0.11287875272622207,False
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,InfoGain-Tuned,-49.1,"[-49.600, -48.500]",-31.13,"[-32.117, -30.227]",-17.970000000000002,-1.8348863799055468,-31.781164361125366,2.932391597533058e-161,True
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,Planning+IG,-49.1,"[-49.600, -48.500]",-31.89666666666667,"[-32.970, -30.887]",-17.203333333333333,-1.6291626786518232,-28.217925332199655,9.748220715979791e-135,True
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,EpistemicOnly,-49.1,"[-49.600, -48.500]",-200.0,"[-200.000, -200.000]",150.9,29.23661093669603,506.3929558348143,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,EFE,-49.1,"[-49.600, -48.500]",-25.856666666666666,"[-28.087, -23.613]",-23.243333333333336,-1.1408330628189252,-19.759808277567952,1.8997480446761661e-75,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,InfoGain,-49.1,"[-49.600, -48.500]",-48.3,"[-49.100, -47.400]",-0.8000000000000043,-0.0915994401211604,-1.5865488423471288,0.11287875272622207,False
TILEWORLD EXPERIMENT (8x8),Reward,Planning,InfoGain-Tuned,-49.1,"[-49.600, -48.500]",-31.13,"[-32.117, -30.227]",-17.970000000000002,-1.8348863799055468,-31.781164361125366,2.932391597533058e-161,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,Planning+IG,-49.1,"[-49.600, -48.500]",-31.89666666666667,"[-32.970, -30.887]",-17.203333333333333,-1.6291626786518232,-28.217925332199655,9.748220715979791e-135,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,EpistemicOnly,-49.1,"[-49.600, -48.500]",-200.0,"[-200.000, -200.000]",150.9,29.23661093669603,506.3929558348143,0.0,True
