target_env,weight,source,success_rate,mean_reward,std_reward,se_reward,mean_observations
Tiger,1.0,EFE (canonical),0.9933333333333333,5.016666666666667,9.097603469534649,0.37140810637556293,4.25
Tiger,20.0,tuned on Tiger (native),0.9966666666666667,5.423333333333333,6.526927982511289,0.2664607190840984,4.21
Tiger,50.0,tuned on Testbed (transfer),1.0,4.153333333333333,2.6337214903798936,0.1075212296005529,5.846666666666667
Tiger,100.0,tuned on Diagnosis (transfer); tuned on Bandit (transfer),1.0,4.133333333333334,2.7047283700134392,0.11042007332270973,5.866666666666666
Diagnosis,1.0,EFE (canonical),0.98,-0.9933333333333333,9.387222994877428,0.3832317739861774,9.793333333333333
Diagnosis,20.0,tuned on Tiger (transfer),0.9616666666666667,-1.7466666666666666,11.848592977883726,0.48371678276231633,9.446666666666667
Diagnosis,50.0,tuned on Testbed (transfer),0.9916666666666667,-3.75,7.292747538936657,0.29772517155554346,13.25
Diagnosis,100.0,tuned on Diagnosis (native); tuned on Bandit (transfer),0.9916666666666667,-3.566666666666667,7.036965886579875,0.2872829293248756,13.066666666666666
Bandit,1.0,EFE (canonical),0.8733333333333333,6.3758333333333335,3.468068526652199,0.14158330472172884,4.968333333333334
Bandit,20.0,tuned on Tiger (transfer),0.9883333333333333,4.975833333333333,2.9594198708906148,0.12081781030558797,9.838333333333333
Bandit,50.0,tuned on Testbed (transfer),0.9983333333333333,4.425,2.941831912261474,0.12009978490127839,11.12
Bandit,100.0,tuned on Diagnosis (transfer); tuned on Bandit (native),1.0,3.6525,3.359140825171421,0.13713634993036028,12.695
Testbed,1.0,EFE (canonical),0.9733333333333334,0.38966666666666666,0.49493422683109006,0.02020560519958463,5.57
Testbed,20.0,tuned on Tiger (transfer),1.0,-0.16033333333333344,0.57349212917199,0.023412718132894583,11.603333333333333
Testbed,50.0,tuned on Testbed (native),1.0,-0.3670000000000001,0.6034161085022511,0.02463435947344009,13.67
Testbed,100.0,tuned on Diagnosis (transfer); tuned on Bandit (transfer),1.0,-0.40866666666666684,0.6313410770380428,0.0257743915400395,14.086666666666666
